time_utc,text,likes,retweets,time_local
2025-10-24T05:41:07.000Z,"@mkhader4u @jsuryareddy Here are some notable vehicle fire incidents in 2025 (up to Oct 24), based o...",1,0,2025-10-23 22:41:07-07:00
2025-10-24T03:00:11.000Z,"Kintsugi Workshop Offers Eaton Fire Survivors Path to Healing Through Art 

When broken pottery is m...",0,0,2025-10-23 20:00:11-07:00
2025-10-24T02:18:26.000Z,"@funder When I have to drive up north on I-5 or hey 99, this is what you see on the side of the road...",0,0,2025-10-23 19:18:26-07:00
2025-10-24T01:53:00.000Z,"More free money for electric companies at our cost!

[Video] Fine print in Gov. Gavin Newsom’s last-...",0,0,2025-10-23 18:53:00-07:00
2025-10-24T01:40:17.000Z,working on my resume and realized a majority of these places burned in the eaton fire 😭...,6,0,2025-10-23 18:40:17-07:00
2025-10-24T01:11:51.000Z,"Love him or hate him, but you have to admit he is doing zilch, nada, absolute zero, nothing of any i...",0,0,2025-10-23 18:11:51-07:00
2025-10-23T23:23:05.000Z,@GovPressOffice @CAgovernor @CAgovernor lets Southern California Edison &amp; other utilities charge...,0,0,2025-10-23 16:23:05-07:00
2025-10-23T23:20:36.000Z,The Governor Newsom is more engaged with merch sales than with the Palisades and Eaton fire victims....,0,0,2025-10-23 16:20:36-07:00
2025-10-23T17:52:45.000Z,Odyssey Charter School South lost their campus to the Eaton Fire. Now they’re rebuilding a safe and ...,11,6,2025-10-23 10:52:45-07:00
2025-10-23T11:20:47.000Z,"Wish you would help the Palisades and Eaton Fire victims rebuild. 
We need a builder like Trump to h...",0,0,2025-10-23 04:20:47-07:00
2025-10-23T09:32:03.000Z,REAL ESTATE - Coveted Midcentury Modern Artist Retreat That Was Miraculously ‘Spared’ by Eaton Fire ...,0,0,2025-10-23 02:32:03-07:00
2025-10-23T06:25:38.000Z,Texas Woman Pleads Guilty to Fraudulently Obtaining Tens of Thousands of Eaton Fire Disaster Money a...,0,0,2025-10-22 23:25:38-07:00
2025-10-23T04:49:26.000Z,@CAgovernor 6. This comes as energy bills skyrocket &amp; Newsom aggressively pushes green mandates....,0,0,2025-10-22 21:49:26-07:00
2025-10-23T04:44:23.000Z,@kevinmconnor2 @KCPayTreeIt @GavinNewsom Do you live here? You see how fast the winds were? I felt i...,0,0,2025-10-22 21:44:23-07:00
2025-10-23T03:53:20.000Z,@GavinNewsom And you along with Karen Bass don’t America to see the empty lands where houses used to...,0,0,2025-10-22 20:53:20-07:00
2025-10-23T02:17:59.000Z,"Altadena mid-century modern compound escaped Eaton fire, now seeks $2.5M https://t.co/92vPJcNlRS...",0,0,2025-10-22 19:17:59-07:00
2025-10-23T02:17:57.000Z,"Altadena mid-century modern compound escaped Eaton fire, now seeks $2.5M https://t.co/zogscYX9Tm...",0,0,2025-10-22 19:17:57-07:00
2025-10-23T01:00:22.000Z,Not really. Intentionally set fire may not have been intended to spread as it did. Eaton Fire was sp...,1,0,2025-10-22 18:00:22-07:00
2025-10-23T01:00:07.000Z,@JunkScience Not really. Intentionally set fire may not have been intended to spread as it did. Eato...,2,0,2025-10-22 18:00:07-07:00
2025-10-23T00:52:31.000Z,"@DC_Draino @GavinNewsom Nope- Not one House has Been rebuilt out the 6,400 structures destroyed in t...",2,0,2025-10-22 17:52:31-07:00
2025-10-23T00:46:40.000Z,@JenSiebelNewsom You should talk lol. How much did your non profit make in the name of the Palisades...,0,0,2025-10-22 17:46:40-07:00
2025-10-22T23:49:49.000Z,But if you take a deep dive what the bill really does is reduce the financial exposure of Southern C...,0,0,2025-10-22 16:49:49-07:00
2025-10-22T22:50:52.000Z,"If you were affected by the Palisades or Eaton fire, our office is conducting outreach to voters who...",4,0,2025-10-22 15:50:52-07:00
2025-10-22T22:28:06.000Z,"📢 Did you hear? The October 2025 Bulletin is here: https://t.co/Pe9gA4mduc. 

Along with City update...",1,1,2025-10-22 15:28:06-07:00
2025-10-22T21:00:01.000Z,"The Eaton Fire Collaboratory is now open!
Fire survivors can access vital resources and support incl...",4,5,2025-10-22 14:00:01-07:00
2025-10-22T20:58:03.000Z,"I’m so glad LA County is establishing long term funding to help rebuild after the Eaton Fire.
https:...",0,0,2025-10-22 13:58:03-07:00
2025-10-22T20:56:58.000Z,🚨Media alerts!🚨 Both Pasadena Now and WehoOnline mention Bet Tzedek's services in recent news storie...,0,0,2025-10-22 13:56:58-07:00
2025-10-22T20:35:21.000Z,"@latimes A hidden Alpine retreat destroyed in Eaton fire rises from the ashes for Oktoberfest: ""The ...",0,0,2025-10-22 13:35:21-07:00
2025-10-22T20:21:04.000Z,A hidden Alpine retreat destroyed in Eaton fire rises from the ashes for Oktoberfest https://t.co/vm...,7,4,2025-10-22 13:21:04-07:00
2025-10-22T19:13:09.000Z,A single mom &amp; small business owner lost everything in the Eaton Fire. Now her health care premi...,17,7,2025-10-22 12:13:09-07:00
2025-10-22T18:55:13.000Z,"This weekend, we'll be celebrating the ways three major local institutions dropped ""business as usua...",0,0,2025-10-22 11:55:13-07:00
2025-10-22T17:25:32.000Z,@BrianWright14 @FOX9 The January 2025 LA wildfires stemmed from multiple sources. The Palisades Fire...,1,0,2025-10-22 10:25:32-07:00
2025-10-22T16:00:18.000Z,"Altadena Wildfire Recovery District Approved to Rebuild Infrastructure After Eaton Fire 

Los Angele...",1,0,2025-10-22 09:00:18-07:00
2025-10-22T15:44:29.000Z,As always the customers pay for the negligence of the utility company. Last-minute language in utili...,0,0,2025-10-22 08:44:29-07:00
2025-10-22T14:51:52.000Z,"Two viral threads in one day, wow. Cats and dogs living together, mass hysteria. I have a Patreon wh...",38,6,2025-10-22 07:51:52-07:00
2025-10-22T14:15:10.000Z,"Alleged Eaton Fire Looters Face Pretrial Hearing Wednesday 

Two people accused of looting homes dur...",0,0,2025-10-22 07:15:10-07:00
2025-10-22T13:28:05.000Z,"Insurers set to charge Calif homeowners for Palisades, Eaton fire costs https://t.co/Im37ZtQULz...",1,0,2025-10-22 06:28:05-07:00
2025-10-22T13:15:05.000Z,"""The new legislation pretty much establishes a bailout on top of the already existing bailout system...",0,0,2025-10-22 06:15:05-07:00
2025-10-22T10:17:21.000Z,"@GavinNewsom Speaking of destruction: The 2025 LA fires burned over 55,000 acres in total, with spec...",0,0,2025-10-22 03:17:21-07:00
2025-10-22T09:12:42.000Z,"@Potomacbeat @WallStreetApes Yes, the claims check out. Governor Newsom signed SB 254, enabling util...",0,0,2025-10-22 02:12:42-07:00
2025-10-22T06:06:15.000Z,"@AbrahamSakamoto @WallStreetApes Yes, the claims hold up. Governor Newsom signed SB 254 on September...",1,0,2025-10-21 23:06:15-07:00
2025-10-22T05:57:52.000Z,"When Edwin Castro won the historic $2.04 billion Powerball jackpot, he could’ve vanished into a life...",0,0,2025-10-21 22:57:52-07:00
2025-10-22T05:15:02.000Z,"Last-minute language that made it onto Senate Bill 254, a utility reform bill, could put the cost of...",0,0,2025-10-21 22:15:02-07:00
2025-10-22T04:00:52.000Z,@edgarrmcgregor The 1993 Kinnleloa Mesa fire was pretty similar except the wind didn't hit 80 mph.  ...,1,0,2025-10-21 21:00:52-07:00
2025-10-22T03:58:50.000Z,"Wow, it's been a while since anything of mine went viral here. I don't have a soundcloud, but I have...",66,7,2025-10-21 20:58:50-07:00
2025-10-22T02:42:18.000Z,The Eaton Fire was so obvious to me I made a bookmark in August 2024 of the canyon on fire at night ...,28,2,2025-10-21 19:42:18-07:00
2025-10-22T02:15:01.000Z,"If you get your power from Southern California Edison, your bill could go up to pay for the Eaton fi...",1,0,2025-10-21 19:15:01-07:00
